nivel_k,frequencia_n_k,frequencia_normalizada_p_k,frequencia_acumulada_CDF,novo_nivel_s_k
0,5371,0.009012,0.009012,2
1,1619,0.002716,0.011728,3
2,1445,0.002424,0.014153,4
3,1278,0.002144,0.016297,4
4,1318,0.002211,0.018508,5
5,1363,0.002287,0.020795,5
6,1318,0.002211,0.023007,6
7,1287,0.002159,0.025166,6
8,1240,0.002081,0.027247,7
9,1228,0.002060,0.029307,7
10,1164,0.001953,0.031260,8
11,1154,0.001936,0.033196,8
12,1123,0.001884,0.035081,9
13,1077,0.001807,0.036888,9
14,1146,0.001923,0.038810,10
15,1140,0.001913,0.040723,10
16,1029,0.001727,0.042450,11
17,1034,0.001735,0.044185,11
18,1081,0.001814,0.045998,12
19,1006,0.001688,0.047686,12
20,1013,0.001700,0.049386,13
21,1025,0.001720,0.051106,13
22,1063,0.001784,0.052889,13
23,1091,0.001831,0.054720,14
24,1151,0.001931,0.056651,14
25,1104,0.001852,0.058503,15
26,1086,0.001822,0.060326,15
27,1208,0.002027,0.062352,16
28,1160,0.001946,0.064299,16
29,1116,0.001872,0.066171,17
30,1145,0.001921,0.068092,17
31,1167,0.001958,0.070050,18
32,1216,0.002040,0.072091,18
33,1233,0.002069,0.074159,19
34,1215,0.002039,0.076198,19
35,1231,0.002065,0.078263,20
36,1241,0.002082,0.080346,20
37,1288,0.002161,0.082507,21
38,1310,0.002198,0.084705,22
39,1315,0.002206,0.086911,22
40,1247,0.002092,0.089003,23
41,1287,0.002159,0.091163,23
42,1371,0.002300,0.093463,24
43,1387,0.002327,0.095790,24
44,1356,0.002275,0.098065,25
45,1356,0.002275,0.100341,26
46,1426,0.002393,0.102733,26
47,1390,0.002332,0.105065,27
48,1457,0.002445,0.107510,27
49,1400,0.002349,0.109859,28
50,1448,0.002430,0.112289,29
51,1449,0.002431,0.114720,29
52,1417,0.002378,0.117097,30
53,1356,0.002275,0.119372,30
54,1496,0.002510,0.121883,31
55,1427,0.002394,0.124277,32
56,1510,0.002534,0.126810,32
57,1426,0.002393,0.129203,33
58,1432,0.002403,0.131606,34
59,1452,0.002436,0.134042,34
60,1476,0.002477,0.136518,35
61,1490,0.002500,0.139018,35
62,1482,0.002487,0.141505,36
63,1523,0.002555,0.144060,37
64,1569,0.002633,0.146693,37
65,1551,0.002602,0.149295,38
66,1510,0.002534,0.151829,39
67,1517,0.002545,0.154374,39
68,1541,0.002586,0.156960,40
69,1572,0.002638,0.159597,41
70,1562,0.002621,0.162218,41
71,1572,0.002638,0.164856,42
72,1576,0.002644,0.167500,43
73,1623,0.002723,0.170223,43
74,1512,0.002537,0.172760,44
75,1643,0.002757,0.175517,45
76,1587,0.002663,0.178180,45
77,1646,0.002762,0.180941,46
78,1679,0.002817,0.183758,47
79,1730,0.002903,0.186661,48
80,1712,0.002872,0.189534,48
81,1708,0.002866,0.192399,49
82,1751,0.002938,0.195337,50
83,1779,0.002985,0.198322,51
84,1826,0.003064,0.201386,51
85,1769,0.002968,0.204354,52
86,1701,0.002854,0.207208,53
87,1899,0.003186,0.210394,54
88,1838,0.003084,0.213478,54
89,1808,0.003034,0.216512,55
90,1888,0.003168,0.219680,56
91,1894,0.003178,0.222857,57
92,1806,0.003030,0.225888,58
93,1853,0.003109,0.228997,58
94,1892,0.003174,0.232171,59
95,1901,0.003190,0.235361,60
96,1848,0.003101,0.238461,61
97,1835,0.003079,0.241540,62
98,1971,0.003307,0.244847,62
99,1902,0.003191,0.248039,63
100,1928,0.003235,0.251273,64
101,1884,0.003161,0.254435,65
102,1922,0.003225,0.257659,66
103,2020,0.003389,0.261049,67
104,1971,0.003307,0.264356,67
105,1918,0.003218,0.267574,68
106,1968,0.003302,0.270876,69
107,1932,0.003242,0.274117,70
108,2004,0.003362,0.277480,71
109,1887,0.003166,0.280646,72
110,1962,0.003292,0.283938,72
111,1912,0.003208,0.287146,73
112,2000,0.003356,0.290502,74
113,1988,0.003336,0.293837,75
114,1980,0.003322,0.297159,76
115,1971,0.003307,0.300466,77
116,1965,0.003297,0.303763,77
117,1909,0.003203,0.306966,78
118,2018,0.003386,0.310352,79
119,2023,0.003394,0.313747,80
120,2034,0.003413,0.317159,81
121,2091,0.003508,0.320668,82
122,2051,0.003441,0.324109,83
123,2040,0.003423,0.327532,84
124,2074,0.003480,0.331012,84
125,2038,0.003419,0.334431,85
126,2073,0.003478,0.337909,86
127,2071,0.003475,0.341384,87
128,2085,0.003498,0.344883,88
129,2164,0.003631,0.348513,89
130,2072,0.003477,0.351990,90
131,2133,0.003579,0.355569,91
132,2092,0.003510,0.359079,92
133,2161,0.003626,0.362705,92
134,2145,0.003599,0.366304,93
